title,year,codec,resolution,size_gb,bpp,hdr_status,cambi_score,block_mean,blur_mean,encoder_settings,verdict,audio,relative_path
Star Wars Episode II Attack of the Clones,2002,HEVC,2160p,12.37,0.0625,DV/HDR10,0.538,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,Star.Wars.Episode.II.Attack.of.the.Clones.2002.2160p.DSNP.WEB-DL.DDPA.5.1.DV.HDR.H.265-PiRaTeS/Star.Wars.Episode.II.Attack.of.the.Clones.2002.2160p.DSNP.WEB-DL.DDPA.5.1.DV.HDR.H.265-PiRaTeS.mkv
Star Wars Episode III Revenge of the Sith,2005,HEVC,2160p,14.98,0.077,DV/HDR10,0.109,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,Star.Wars.Episode.III.Revenge.of.the.Sith.2005.2160p.DSNP.WEB-DL.DDPA.5.1.DV.HDR.H.265-PiRaTeS/Star.Wars.Episode.III.Revenge.of.the.Sith.2005.2160p.DSNP.WEB-DL.DDPA.5.1.DV.HDR.H.265-PiRaTeS.mkv
Star Wars Episode IV A New Hope,1977,HEVC,2160p,12.78,0.0738,DV/HDR10,0.008,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,Star.Wars.Episode.IV.A.New.Hope.1977.2160p.DSNP.WEB-DL.DDPA.5.1.DV.HDR.H.265-PiRaTeS/Star.Wars.Episode.IV.A.New.Hope.1977.2160p.DSNP.WEB-DL.DDPA.5.1.DV.HDR.H.265-PiRaTeS.mkv
Star Wars Episode IX The Rise of Skywalker,2019,HEVC,2160p,15.09,0.0766,DV/HDR10,0.098,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,Star.Wars.Episode.IX.The.Rise.of.Skywalker.2019.2160p.DSNP.WEB-DL.DDPA.5.1.DV.HDR.H.265-PiRaTeS/Star.Wars.Episode.IX.The.Rise.of.Skywalker.2019.2160p.DSNP.WEB-DL.DDPA.5.1.DV.HDR.H.265-PiRaTeS.mkv
Star Wars Episode V The Empire Strikes Back,1980,HEVC,2160p,12.57,0.071,DV/HDR10,0.002,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,Star.Wars.Episode.V.The.Empire.Strikes.Back.1980.2160p.DSNP.WEB-DL.DDPA.5.1.DV.HDR.H.265-PiRaTeS/Star.Wars.Episode.V.The.Empire.Strikes.Back.1980.2160p.DSNP.WEB-DL.DDPA.5.1.DV.HDR.H.265-PiRaTeS.mkv
Star Wars Episode VI Return of the Jedi,1983,HEVC,2160p,13.55,0.0724,DV/HDR10,0.008,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,Star.Wars.Episode.VI.Return.of.the.Jedi.1983.2160p.DSNP.WEB-DL.DDPA.5.1.DV.HDR.H.265-PiRaTeS/Star.Wars.Episode.VI.Return.of.the.Jedi.1983.2160p.DSNP.WEB-DL.DDPA.5.1.DV.HDR.H.265-PiRaTeS.mkv
Star Wars Episode VII The Force Awakens,2015,HEVC,2160p,14.57,0.076,DV/HDR10,0.01,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,Star.Wars.Episode.VII.The.Force.Awakens.2015.2160p.DSNP.WEB-DL.DDPA.5.1.DV.HDR.H.265-PiRaTeS/Star.Wars.Episode.VII.The.Force.Awakens.2015.2160p.DSNP.WEB-DL.DDPA.5.1.DV.HDR.H.265-PiRaTeS.mkv
Star Wars Episode VIII The Last Jedi,2017,HEVC,2160p,16.67,0.079,DV/HDR10,0.005,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,Star.Wars.Episode.VIII.The.Last.Jedi.2017.2160p.DSNP.WEB-DL.DDPA.5.1.DV.HDR.H.265-PiRaTeS/Star.Wars.Episode.VIII.The.Last.Jedi.2017.2160p.DSNP.WEB-DL.DDPA.5.1.DV.HDR.H.265-PiRaTeS.mkv
The Dark Knight,2008,AV1,2160p,9.54,0.0451,HDR10,0.0,0.0,0.0,None,STARVED-BUT-CLEAN,OPUS 6ch,The Dark Knight 2008 Bluray 2160p AV1 HDR10 OPUS 5 1-UH/The Dark Knight 2008 Bluray 2160p AV1 HDR10 OPUS 5 1-UH.mkv
The Departed,2006,AV1,2160p,6.32,0.0404,HDR10,1.139,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,The.Departed.2006.2160p.UHD.BluRay.DD+5.1.HDR.AV1-Smokindevil/The.Departed.2006.2160p.UHD.BluRay.DD+5.1.HDR.AV1-Smokindevil.mkv
The Mandalorian and Grogu,2026,AV1,2160p,8.24,0.0449,DV/HDR10,0.741,0.0,0.0,None,STARVED-BUT-CLEAN,EAC3 6ch,The.Mandalorian.and.Grogu.2026.IMAX.2160p.HDR10.DV.Hybrid.MA.Webrip.AV1.10bit.EAC3.5.1.Atmos-Goki-TAoE/The.Mandalorian.and.Grogu.2026.IMAX.2160p.HDR10.DV.Hybrid.MA.Webrip.AV1.10bit.EAC3.5.1.Atmos-Goki-TAoE.mkv
The Shawshank Redemption,1994,HEVC,2160p,15.39,0.0777,DV/HDR10,0.02,0.0,0.0,psy-rd=4.00 rc=abr bitrate=15000 qcomp=0.60 aq-mode=0,STARVED-BUT-CLEAN,EAC3 6ch,The.Shawshank.Redemption.1994.2160p.PCOK.WEB-DL.DDP.5.1.DV.HDR.H.265-PiRaTeS/The.Shawshank.Redemption.1994.2160p.PCOK.WEB-DL.DDP.5.1.DV.HDR.H.265-PiRaTeS.mkv
