relative_path,title,year,codec,resolution,width,height,fps,duration_sec,size_gb,bitrate_kbps,bpp,status_flag,audio
Blade.Runner.1982.The.Final.Cut.UHD.BluRay.2160p.DDP.7.1.DV.HDR.x265-hallowed/Blade.Runner.1982.The.Final.Cut.UHD.BluRay.2160p.DDP.7.1.DV.HDR.x265-hallowed.mkv,Blade Runner,1982,HEVC,2160p,3840,1600,23.976,7051.39,13.82,16831.9,0.1143,OPTIMAL,EAC3 8ch
Blue.Valentine.2010.1080p.ROKU.WEB-DL.DD.5.1.H.264-PiRaTeS/Blue.Valentine.2010.1080p.ROKU.WEB-DL.DD.5.1.H.264-PiRaTeS.mkv,Blue Valentine,2010,H264,1080p,1920,1080,23.976,6724.19,3.79,4838.2,0.0973,RES-ANOMALY,AC3 6ch
Braveheart.1995-2160p.BluRay.HDR10.10.bit.Encode.AV1.DD5.1-RandH/Braveheart.1995-2160p.BluRay.HDR10.10.bit.Encode.AV1.DD5.1-RandH.mkv,Braveheart.1995-2160p.BluRay.HDR10.10.bit.Encode.AV1.DD5.1-RandH,0,AV1,2160p,3840,1636,23.976,10662.4,11.09,8930.9,0.0593,OPTIMAL,AC3 6ch
Bu.Liu.Huo.Kou.2026.2160p.WEB-DL.H.265.HDR.DDP2.0.2Audios-HHWEB/Bu.Liu.Huo.Kou.2026.2160p.WEB-DL.H.265.HDR.DDP2.0.2Audios-HHWEB.mkv,Bu Liu Huo Kou,2026,HEVC,2160p,3840,1632,25.0,5212.72,5.22,8606.8,0.0549,STARVED,AAC 2ch
Capernaum.2018.1080p.NF.WEB-DL.DDP5.1.AV1-Saon/Capernaum.2018.1080p.NF.WEB-DL.DDP5.1.AV1-Saon.mkv,Capernaum,2018,AV1,1080p,1920,1080,24.0,7582.5,1.43,1618.0,0.0325,RES-ANOMALY,EAC3 6ch
Casablanca.1942.2160p.MAX.WEB-DL.DDP.2.0.DV.HDR.H.265-PiRaTeS/Casablanca.1942.2160p.MAX.WEB-DL.DDP.2.0.DV.HDR.H.265-PiRaTeS.mkv,Casablanca,1942,HEVC,2160p,2960,2160,23.976,6152.8,15.85,22127.0,0.1443,REFERENCE/HEAVY,EAC3 2ch
Casino.1995.2160p.PCOK.WEB-DL.DDP.5.1.HDR.H.265-PiRaTeS/Casino.1995.2160p.PCOK.WEB-DL.DDP.5.1.HDR.H.265-PiRaTeS.mkv,Casino,1995,HEVC,2160p,3840,2160,23.976,10694.78,19.2,15425.2,0.0776,STARVED,EAC3 6ch
Cast.Away.2000.2160p.WEB-DL.DTS-HD.MA.5.1.DV.HDR10+.H.265-XEBEC/Cast.Away.2000.2160p.WEB-DL.DTS-HD.MA.5.1.DV.HDR10+.H.265-XEBEC.mkv,Cast Away,2000,HEVC,2160p,3840,2074,23.976,8626.28,29.18,29055.8,0.1522,REFERENCE/HEAVY,DTS 6ch
Catch.Me.If.You.Can.2002.UHD.BluRay.2160p.DDP.5.1.DV.HDR10Plus.x265-hallowed.mkv/Catch.Me.If.You.Can.2002.UHD.BluRay.2160p.DDP.5.1.DV.HDR10Plus.x265-hallowed.mkv,Catch Me If You Can,2002,HEVC,2160p,3840,2160,23.976,8443.48,18.51,18835.8,0.0947,OPTIMAL,EAC3 6ch
Chainsaw Man The Movie Reze Arc 2025 REPACK 2160p MA WEB-DL DUAL DDP5 1 Atmos DV HDR10P H 265-BYNDR/Chainsaw Man The Movie Reze Arc 2025 REPACK 2160p MA WEB-DL DUAL DDP5 1 Atmos DV HDR10P H 265-BYNDR.mkv,Chainsaw Man The Movie Reze Arc,2025,HEVC,2160p,3840,2160,23.976,5999.49,17.91,25640.0,0.1289,OPTIMAL,EAC3 6ch
